id,family,instrument,band,n_added,n_removed,anom_val_in_added,clean_val_in_removed,added,removed
fp_01,false_premise,jlens,early(0-16),13,15,0,0,",… Booth GIF RECE _tok about approaches aup envisioned levision â –and 眼下",Paragraph ailles established ought overarching sik sä tweaking tweaks vibe ways ् –– ’s 耳目
fp_01,false_premise,jlens,mid(24-40),28,25,0,0,-- Before IBM Sputnik breakthrough colour dates discoveries evolving experiments implementation incorrect later milestones notably physicist questions reconsider solve systems youthful 互联网 但实际上 早期的 最初的 研制 至今已有 误,.uk _since correctly decade famous garnered groundbreaking helping inaccur innov issues networking programmes recognised since sixteen than thereof whilst widespread 发明了 在欧洲 想了解 欧洲 详细
fp_01,false_premise,rlens,early(0-16),4,7,0,0,sos â —a ™,numerous on seemingly teen ه ً ‘
fp_01,false_premise,rlens,mid(24-40),24,28,0,0,( IBM Internal Its actually colleagues concepts evolving exactly feedback finally implementation incorrect incorrectly inspired prototypes question rather response systems 研制 至今已有 请问 错,Details Initially Network [...] aimed asking concept famous immediate impact my physicists proposes public skepticism worldwide ‘ “ 初期 反应 发明 发明了 在欧洲 欧洲 的内部 简要 细节 解决了
fp_01,false_premise,logit,early(0-16),2,1,0,0,z �,i
fp_01,false_premise,logit,mid(24-40),47,53,0,0,"<|endoftext|> T Unix \"" b dra evel evolution exactly formally ies imina imini in information internet many oused packed proto prototype raft redict systems thuận uc urf ursion urus vision 便 元年 功 商业化 尽 幕 建言 提出的 时任 构想 次年 电子 的错误 误 错 错了 错误",""" -present B Tet V World acking adic ago akis already correctly de ear eder existing first ideas ienti initiative ints ization network ost physicists primary problem proposed several since tri uko usen versus vet what ée “ 于 伐 建议 开放 提到了 政 现代 的商业 真正 联机 范 蜗 请示 里 长城"
fp_02,false_premise,jlens,early(0-16),11,10,0,0,alley asks efois endeavor freaking nearer rish sometimes suss —and 实际操作,Asked LoginForm ativity gee ger ourmet overall recovered „ 新陈代谢
fp_02,false_premise,jlens,mid(24-40),31,21,0,0,-fashioned Incorrect LaTeX __ assumed assumption atin coal compose composition correct definition dehyde elsewhere enti facts inaccur incorrect incorrectly molecules offer particular purported really sbagli somehow wrong ‑ 氧化碳 错了 错误的,Coal approx assume bahwa educator hydrogen imeter knowing nice offering pretty scaffold somebody writing وز 估算 估计 格式 气的 的化学 计算方法
fp_02,false_premise,rlens,early(0-16),3,2,0,0,enburg modest o,although ourmet
fp_02,false_premise,rlens,mid(24-40),13,13,0,0,although correct incorrect incorrectly instructions later normally request sum wrong 薰 错 错了,apparently approximate assume challenge estimate followed given if provide rate section whence worksheet
fp_02,false_premise,logit,early(0-16),1,0,0,0,_,
fp_02,false_premise,logit,mid(24-40),38,30,0,0,"** <|fim_suffix|> \ \"" ard ate eg icator ign iker incorrect incorrectly lite lm opies ous phony premises provided ric values wei ¹ çe 乎 假设 关 常识 平衡 是错误的 有误 流 短 给出 质 过程 错 错了",$ Final M S an arias breakdown c dorf eron ers esty it m oron oxygen rag rom xygen yton 元素 同样是 安排 尔 式 提供 文字 概念 氧 ��
fp_03,false_premise,jlens,early(0-16),27,24,0,0,-gray CÁ Furthermore Herman InstanceId Savior ady anat bbb beck ensee envisioned erner esco ftware gaining icali icara individuals intricate ised ppe tempts يّ ‘’ 油茶 波波,-wide Welsh `` an ant bourg enge ewe favourable itude perspectives programmes sucess theless trato ucci zelfde Ă ş аем ً ียว ‑ ’**
fp_03,false_premise,jlens,mid(24-40),29,22,0,0,", -contrib Arquit Baltimore Historic Historical Proposal \u aftermath allegedly bustling damage early his incorrect influencing magnificent old opolitan prior redevelopment spro 历史 受热 建筑设计 永久 著名 ？” �",England Protestant [...] ___ anat bugs disasters er famously fire fires improvements layout long mlin programmes rect research 灾 英国 起火 阿姆斯特
fp_03,false_premise,rlens,early(0-16),12,12,0,0,------- ...</ Celebration backward hence juxtap keen regarded thereafter urgeon ​ …and,-striped Old `` apparently astonishing ault elegant how indeed space ucci 聚丙烯
fp_03,false_premise,rlens,mid(24-40),32,22,0,0,(...) Christopher Historical Urban Wrong aftermath already altimore angelo area before contempor damage date dates early event incorrect incorrectly influenced influences large magnificent occurred parish prior street 修复 受热 城市规划 灾难 错,-city Dutch England benefits burning decades eventual famously fires iconic largely many proposing rather research 大火 扑灭 灾 灾后 英国 设计方案 起火
fp_03,false_premise,logit,early(0-16),8,6,0,0,A H ay c log orm rees 成,abet aler ex ion z 量
fp_03,false_premise,logit,mid(24-40),101,94,0,0,-era /her ALTH B C Daemon Design Great W Works Wrong [ abi abled aftermath ago airs already alte alth angep ards arel awan b bies butt checker church cken con conditions contributions craft ely f famous i iante ience influences inger ington istle ivate lops many mature mons narrow nius oc oin pha pie r replacement tier timeline ubin um ungs ville wrong ~ амет ք ירת 伸 但未 便 公会 原子 唆 图纸 坦 大中 大教堂 大火 尽管 延 廷 得以 战后 扑 持续 挟 措 改 整体 日后 梧桐 波及 特别是 笛 繁荣 纤 蔓延 计划 错 露,** -plan /layout /proto CAD CBD D English Ey Scan VAS VI ___ abet abr acán after aille aing ajan ales alley amenta architectural arges attempts aux bili e ecc elsius es eza fici heit icans idio ikli ius ivy izare lese mod neb overall plier population rebuilt ringer ryn specific structural style symbolic synthesize ulis unes ís ိ ″ 一手 一新 不成 仿 全 其 同心 地方 大规模 工 幻 序 影响 总体规划 恒 愈 扑灭 早期 格局 横 海 灾 琦 瑕 的统一 的计划 统一的 裳 规 规划的 议 起因 那么 那场
fp_04,false_premise,jlens,early(0-16),6,10,0,0,CAL CÁ \u individuals substantially 积累经验,-focused /select Colour Concern incentiv ism zinho 帽 提升至 曦
fp_04,false_premise,jlens,mid(24-40),9,6,0,0,Architect Boston Reconstruction efficiency rect requirements 历史 消防 灾,advancements muß proposals redesign restriction 防患
fp_04,false_premise,rlens,early(0-16),4,9,0,0,eh juxtap toward tures,?\ DOMNode amount challenges opot prevention significant subsequently 礎
fp_04,false_premise,rlens,mid(24-40),5,10,0,0,influence related 建筑设计 材料 起火,Neighborhood aforementioned after better flamm peril regulatory research s 大火
fp_04,false_premise,logit,early(0-16),1,0,0,0,and,
fp_04,false_premise,logit,mid(24-40),20,16,0,0,& H S _crypto aline amel colm es influence islation j lius oul that ynn ális 似的 材质的 柿 波及,""" -scale -wide CBD F I VI abi as e etting illot t 于 十条 ��"
